language;movie_count
English;111
Japanese;12
Spanish;10
German;8
Chinese;8
French;8
Cantonese;6
Italian;4
Portuguese;4
Russian;4
Korean;3
No spoken language;2
Arabic;2
Thai;2
Latin;2
Armenian;1
Greek (modern);1
Hindi;1
Icelandic;1
Indonesian;1
Irish;1
Hungarian;1
Romanian;1
Swedish;1
Telugu;1
