letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;tmdb_id;release_year;duration;avg_rating;letterboxd_url;tmdb_url;imdb_url
890105;Humanist Vampire Seeking Consenting Suicidal Person;Humanist Vampire Seeking Consenting Suicidal Person (2023);humanist-vampire-seeking-consenting-suicidal-person;988402;2023;91;3.89;https://letterboxd.com/film/humanist-vampire-seeking-consenting-suicidal-person/;https://www.themoviedb.org/movie/988402/;http://www.imdb.com/title/tt24216998/maindetails
829364;The Wonderful Story of Henry Sugar;The Wonderful Story of Henry Sugar (2023);the-wonderful-story-of-henry-sugar;923939;2023;39;3.84;https://letterboxd.com/film/the-wonderful-story-of-henry-sugar/;https://www.themoviedb.org/movie/923939/;http://www.imdb.com/title/tt16968450/maindetails
710352;Poor Things;Poor Things (2023);poor-things-2023;792307;2023;142;4.01;https://letterboxd.com/film/poor-things-2023/;https://www.themoviedb.org/movie/792307/;http://www.imdb.com/title/tt14230458/maindetails
784328;Oppenheimer;Oppenheimer (2023);oppenheimer-2023;872585;2023;181;4.21;https://letterboxd.com/film/oppenheimer-2023/;https://www.themoviedb.org/movie/872585/;http://www.imdb.com/title/tt15398776/maindetails
277064;Barbie;Barbie (2023);barbie;346698;2023;114;3.82;https://letterboxd.com/film/barbie/;https://www.themoviedb.org/movie/346698/;http://www.imdb.com/title/tt1517268/maindetails
744214;Between Us;Between Us (2023);between-us-2023;828373;2023;90;2.56;https://letterboxd.com/film/between-us-2023/;https://www.themoviedb.org/movie/828373/;http://www.imdb.com/title/tt14402084/maindetails
1027831;Black Mirror: Demon 79;Black Mirror: Demon 79 (2023);black-mirror-demon-79;1140631;2023;74;3.29;https://letterboxd.com/film/black-mirror-demon-79/;https://www.themoviedb.org/movie/1140631/;http://www.imdb.com/title/tt27731671/maindetails
1027829;Black Mirror: Mazey Day;Black Mirror: Mazey Day (2023);black-mirror-mazey-day;1140630;2023;40;2.11;https://letterboxd.com/film/black-mirror-mazey-day/;https://www.themoviedb.org/movie/1140630/;http://www.imdb.com/title/tt27731663/maindetails
1027828;Black Mirror: Beyond the Sea;Black Mirror: Beyond the Sea (2023);black-mirror-beyond-the-sea;1140628;2023;80;3.58;https://letterboxd.com/film/black-mirror-beyond-the-sea/;https://www.themoviedb.org/movie/1140628/;http://www.imdb.com/title/tt27731623/maindetails
1027819;Black Mirror: Loch Henry;Black Mirror: Loch Henry (2023);black-mirror-loch-henry;1140595;2023;60;3.51;https://letterboxd.com/film/black-mirror-loch-henry/;https://www.themoviedb.org/movie/1140595/;http://www.imdb.com/title/tt27731608/maindetails
