name;link;character_name;film_id;film_title
Faoileann Cunningham;/actor/faoileann-cunningham/;Kormlöth;565852;The Northman
Gareth Parker;/actor/gareth-parker/;The Hird Officer;565852;The Northman
Mark Fitzgerald;/actor/mark-fitzgerald-1/;Hallucinating Guard;565852;The Northman
Gavin Peden;/actor/gavin-peden/;Burly Guard;565852;The Northman
Joel Hicks;/actor/joel-hicks/;Fengr Shield-Biter;565852;The Northman
Chris Finlayson;/actor/chris-finlayson/;Grani Battle-Screamer;565852;The Northman
Eric Higgins;/actor/eric-higgins/;Ketill the Whale Sided;565852;The Northman
Matt Symonds;/actor/matt-symonds/;Ragnar Cold-Mouthed;565852;The Northman
Luca Evans;/actor/luca-evans/;Ivan;565852;The Northman
James Harper-Jones;/actor/james-harper-jones/;Vasill;565852;The Northman
Thomas Harper-Jones;/actor/thomas-harper-jones/;Stanislav;565852;The Northman
Sheila Flitton;/actor/sheila-flitton/;Lyudmila;565852;The Northman
Lily Bird;/actor/lily-bird-1/;The Maiden King;565852;The Northman
Robin Carolan;/actor/robin-carolan/;Hawker (uncredited);565852;The Northman
Mark P. O'Connor;/actor/mark-p-oconnor/;Villager (uncredited);565852;The Northman
Bill Allen;/actor/bill-allen/;Cru;43552;Rad
Lori Loughlin;/actor/lori-loughlin/;Christian;43552;Rad
Talia Shire;/actor/talia-shire/;Mrs. Jones;43552;Rad
Ray Walston;/actor/ray-walston/;Burton Timmer;43552;Rad
Alfie Wise;/actor/alfie-wise/;Eliott Dole;43552;Rad
Jack Weston;/actor/jack-weston/;Duke Best;43552;Rad
Laura Jacoby;/actor/laura-jacoby/;Wesley Jones;43552;Rad
H.B. Haggerty;/actor/hb-haggerty-1/;Sgt. Smith;43552;Rad
Jamie Clarke;/actor/jamie-clarke-1/;Luke;43552;Rad
Marta Kober;/actor/marta-kober/;Becky;43552;Rad
Bart Conner;/actor/bart-conner/;Bart Taylor;43552;Rad
Chad Hayes;/actor/chad-hayes/;Rex Reynolds;43552;Rad
Carey Hayes;/actor/carey-hayes/;Rod Reynolds;43552;Rad
Kellie McQuiggin;/actor/kellie-mcquiggin/;Foxy;43552;Rad
Beverley Hendry;/actor/beverley-hendry/;Tiger;43552;Rad
Shawna Burnett;/actor/shawna-burnett/;Amy;43552;Rad
Graeme Davies;/actor/graeme-davies/;Harold;43552;Rad
Logan T. Wotton;/actor/logan-t-wotton/;Miles;43552;Rad
Jeff Kress;/actor/jeff-kress/;Rick;43552;Rad
Gordon Signer;/actor/gordon-signer/;Mayor Coop Jenkins;43552;Rad
Nancy MacDonald;/actor/nancy-macdonald-1/;Mrs. Grey;43552;Rad
Rick McNair;/actor/rick-mcnair/;Bob the Cook;43552;Rad
Pat Pearson;/actor/pat-pearson/;Mr. Pratt;43552;Rad
Maureen Thomas;/actor/maureen-thomas/;Flag Lady;43552;Rad
Bill Berry;/actor/bill-berry-3/;Luke's Dad;43552;Rad
Georgie Collins;/actor/georgie-collins/;Luke's Mom;43552;Rad
Darlene Bradley;/actor/darlene-bradley/;Mom in Station Wagon;43552;Rad
Ashley Bristowe;/actor/ashley-bristowe/;Girl at Playground;43552;Rad
G.A. Dahlseide;/actor/ga-dahlseide/;Fab Official;43552;Rad
Norman Edwards;/actor/norman-edwards-1/;Department Store Man;43552;Rad
Jack Goth;/actor/jack-goth/;Scotty;43552;Rad
Pat Kirst;/actor/pat-kirst/;Wesley's Teacher;43552;Rad
Laird Mackintosh;/actor/laird-mackintosh-1/;Bob Kachler;43552;Rad
Roberta Mauer-Phillips;/actor/roberta-mauer-phillips-1/;Amy's Mother;43552;Rad
Danny McDonogh;/actor/danny-mcdonogh/;Mophead Boy;43552;Rad
Tara McHugh;/actor/tara-mchugh/;Girl;43552;Rad
Barry Onody;/actor/barry-onody/;Bar Patron;43552;Rad
Rod Padmos;/actor/rod-padmos/;Bartender;43552;Rad
Mary Siegel;/actor/mary-siegel/;Woman in Stands at Hell Track;43552;Rad
Benita von Sass;/actor/benita-von-sass/;Katie's Girlfriend;43552;Rad
Gerry Whelpton;/actor/gerry-whelpton/;Mon on Porch;43552;Rad
Bev Wotton;/actor/bev-wotton/;Woman Buys T-Shirt on Street;43552;Rad
Ken Squier;/actor/ken-squier/;T.V. Announcer;43552;Rad
Daniel Kaluuya;/actor/daniel-kaluuya/;Chris Washington;353117;Get Out
Allison Williams;/actor/allison-williams-1/;Rose Armitage;353117;Get Out
Catherine Keener;/actor/catherine-keener/;Missy Armitage;353117;Get Out
Bradley Whitford;/actor/bradley-whitford/;Dean Armitage;353117;Get Out
Caleb Landry Jones;/actor/caleb-landry-jones/;Jeremy Armitage;353117;Get Out
Marcus Henderson;/actor/marcus-henderson/;Walter;353117;Get Out
Betty Gabriel;/actor/betty-gabriel/;Georgina;353117;Get Out
LaKeith Stanfield;/actor/lakeith-stanfield/;Andre Logan King;353117;Get Out
Stephen Root;/actor/stephen-root/;Jim Hudson;353117;Get Out
Lil Rel Howery;/actor/lil-rel-howery/;Rod Williams;353117;Get Out
Ashley LeConte Campbell;/actor/ashley-leconte-campbell/;Lisa Deets;353117;Get Out
