film_id;film_title;value
92160;Paddington;Holiday joy and heartwarming Christmas
92160;Paddington;Adorable animals and heartwarming families
92160;Paddington;Gags, jokes, and slapstick humor
92160;Paddington;Fairy-tale fantasy and enchanted magic
277023;Paddington 2;Family
277023;Paddington 2;Adventure
277023;Paddington 2;Comedy
277023;Paddington 2;Crude humor and satire
277023;Paddington 2;Kids' animated fun and adventure
277023;Paddington 2;Holiday joy and heartwarming Christmas
277023;Paddington 2;Adorable animals and heartwarming families
277023;Paddington 2;Fairy-tale fantasy and enchanted magic
277023;Paddington 2;Amusing jokes and witty satire
45649;Hairspray;Comedy
45649;Hairspray;Crude humor and satire
45649;Hairspray;Song and dance
45649;Hairspray;Catchy songs and hilarious musical comedy
45649;Hairspray;Teen school antics and laughter
45649;Hairspray;Funny jokes and crude humor
45649;Hairspray;Dazzling vocal performances and musicals
45649;Hairspray;Dance rhythms and catchy tunes
51881;28 Days Later;Horror
51881;28 Days Later;Science Fiction
51881;28 Days Later;Thriller
51881;28 Days Later;Horror, the undead and monster classics
51881;28 Days Later;Intense violence and sexual transgression
51881;28 Days Later;Monsters, aliens, sci-fi and the apocalypse
51881;28 Days Later;Survival horror and zombie carnage
51881;28 Days Later;Gory, gruesome, and slasher horror
51881;28 Days Later;Sci-fi horror, creatures, and aliens
51881;28 Days Later;Terrifying, haunted, and supernatural horror
51881;28 Days Later;Chilling experiments and classic monster horror
561763;Pig;Thriller
561763;Pig;Drama
561763;Pig;Humanity and the world around us
561763;Pig;Moving relationship stories
561763;Pig;Powerful stories of heartbreak and suffering
561763;Pig;Surreal and thought-provoking visions of life and death
561763;Pig;Touching and sentimental family stories
561763;Pig;Heartbreaking and moving family drama
561763;Pig;Emotional teen coming-of-age stories
51338;An American Werewolf in London;Comedy
51338;An American Werewolf in London;Horror
51338;An American Werewolf in London;Horror, the undead and monster classics
51338;An American Werewolf in London;Crude humor and satire
51338;An American Werewolf in London;Intense violence and sexual transgression
51338;An American Werewolf in London;Gory, gruesome, and slasher horror
51338;An American Werewolf in London;Terrifying, haunted, and supernatural horror
51338;An American Werewolf in London;Gothic and eerie haunting horror
51338;An American Werewolf in London;Spooky, scary comedy
51338;An American Werewolf in London;Creepy, chilling, and terrifying horror
591053;Past Lives;Drama
591053;Past Lives;Romance
591053;Past Lives;Moving relationship stories
591053;Past Lives;Touching and sentimental family stories
591053;Past Lives;Powerful stories of heartbreak and suffering
591053;Past Lives;Captivating relationships and charming romance
591053;Past Lives;Tragic sadness and captivating beauty
591053;Past Lives;Passion and romance
47867;Napoleon Dynamite;Comedy
47867;Napoleon Dynamite;Crude humor and satire
47867;Napoleon Dynamite;Underdogs and coming of age
47867;Napoleon Dynamite;Funny jokes and crude humor
47867;Napoleon Dynamite;Gags, jokes, and slapstick humor
47867;Napoleon Dynamite;Teen school antics and laughter
47867;Napoleon Dynamite;Amusing jokes and witty satire
47867;Napoleon Dynamite;Catchy songs and hilarious musical comedy
371378;Dune;Science Fiction
371378;Dune;Adventure
371378;Dune;Epic heroes
371378;Dune;Monsters, aliens, sci-fi and the apocalypse
371378;Dune;Action-packed space and alien sagas
371378;Dune;Thought-provoking sci-fi action and future technology
371378;Dune;Superheroes in action-packed battles with villains
371378;Dune;Imaginative space odysseys and alien encounters
371378;Dune;Emotional and captivating fantasy storytelling
617443;Dune: Part Two;Adventure
617443;Dune: Part Two;Science Fiction
617443;Dune: Part Two;Epic heroes
617443;Dune: Part Two;Humanity and the world around us
617443;Dune: Part Two;Action-packed space and alien sagas
617443;Dune: Part Two;Superheroes in action-packed battles with villains
617443;Dune: Part Two;Fantasy adventure, heroism, and swordplay
617443;Dune: Part Two;Historical battles and epic heroism
617443;Dune: Part Two;Emotional and captivating fantasy storytelling
6838;Miami Connection;Action
6838;Miami Connection;Music
6838;Miami Connection;Crime
6838;Miami Connection;Song and dance
6838;Miami Connection;Epic heroes
6838;Miami Connection;Intense combat and martial arts
6838;Miami Connection;Dance rhythms and catchy tunes
6838;Miami Connection;Legendary musicians and stardom
575258;Renfield;Comedy
575258;Renfield;Horror
575258;Renfield;Crude humor and satire
