film_id;film_title;value
51387;Evil Dead II;Gory, gruesome, and slasher horror
51387;Evil Dead II;Creepy, chilling, and terrifying horror
51387;Evil Dead II;Terrifying, haunted, and supernatural horror
431888;The Mitchells vs. the Machines;Animation
431888;The Mitchells vs. the Machines;Comedy
431888;The Mitchells vs. the Machines;Adventure
431888;The Mitchells vs. the Machines;Crude humor and satire
431888;The Mitchells vs. the Machines;Kids' animated fun and adventure
431888;The Mitchells vs. the Machines;Adorable animals and heartwarming families
431888;The Mitchells vs. the Machines;Quirky and endearing relationships
431888;The Mitchells vs. the Machines;Touching and sentimental family stories
431888;The Mitchells vs. the Machines;Emotional and touching family dramas
51157;Point Break;Thriller
51157;Point Break;Crime
51157;Point Break;Action
51157;Point Break;High speed and special ops
51157;Point Break;Epic heroes
51157;Point Break;Heists and thrilling action
51157;Point Break;Adrenaline-fueled action and fast cars
51157;Point Break;Explosive and action-packed heroes vs. villains
51157;Point Break;Violent action, guns, and crime
51157;Point Break;Superheroes in action-packed battles with villains
49632;Flash Gordon;Adventure
49632;Flash Gordon;Science Fiction
49632;Flash Gordon;Action
49632;Flash Gordon;Comedy
49632;Flash Gordon;Monsters, aliens, sci-fi and the apocalypse
49632;Flash Gordon;Epic heroes
49632;Flash Gordon;Superheroes in action-packed battles with villains
49632;Flash Gordon;Action-packed space and alien sagas
49632;Flash Gordon;Fantasy adventure, heroism, and swordplay
49632;Flash Gordon;Imaginative space odysseys and alien encounters
49632;Flash Gordon;Epic adventure and breathtaking battles
41672;Killer Klowns from Outer Space;Science Fiction
41672;Killer Klowns from Outer Space;Horror
41672;Killer Klowns from Outer Space;Comedy
41672;Killer Klowns from Outer Space;Crude humor and satire
41672;Killer Klowns from Outer Space;Horror, the undead and monster classics
41672;Killer Klowns from Outer Space;Monsters, aliens, sci-fi and the apocalypse
41672;Killer Klowns from Outer Space;Sci-fi horror, creatures, and aliens
41672;Killer Klowns from Outer Space;Spooky, scary comedy
