key;value;link;film_id;film_title
studio;Renaissance Pictures;/studio/renaissance-pictures/;51387;Evil Dead II
studio;The De Laurentiis Company;/studio/dino-de-laurentiis-company/;51387;Evil Dead II
country;USA;/films/country/usa/;51387;Evil Dead II
language;English;/films/language/english/;51387;Evil Dead II
studio;Lord Miller;/studio/lord-miller/;431888;The Mitchells vs. the Machines
studio;Columbia Pictures;/studio/columbia-pictures/;431888;The Mitchells vs. the Machines
studio;Sony Pictures Animation;/studio/sony-pictures-animation/;431888;The Mitchells vs. the Machines
studio;One Cool Pictures;/studio/one-cool-film-production/;431888;The Mitchells vs. the Machines
country;Hong Kong;/films/country/hong-kong/;431888;The Mitchells vs. the Machines
country;USA;/films/country/usa/;431888;The Mitchells vs. the Machines
language;English;/films/language/english/;431888;The Mitchells vs. the Machines
studio;Largo Entertainment;/studio/largo-entertainment/;51157;Point Break
studio;Levy/Abrams/Guerin Productions;/studio/levy-abrams-guerin-productions/;51157;Point Break
country;USA;/films/country/usa/;51157;Point Break
language;English;/films/language/english/;51157;Point Break
studio;Starling Films;/studio/starling-films/;49632;Flash Gordon
studio;Universal Pictures;/studio/universal-pictures/;49632;Flash Gordon
studio;Famous Films Productions;/studio/famous-films-ii/;49632;Flash Gordon
studio;Flash Gordon Productions;/studio/flash-gordon-productions/;49632;Flash Gordon
studio;DDL Cinematografica;/studio/ddl-cinematografica/;49632;Flash Gordon
country;Italy;/films/country/italy/;49632;Flash Gordon
country;Netherlands;/films/country/netherlands/;49632;Flash Gordon
country;UK;/films/country/uk/;49632;Flash Gordon
country;USA;/films/country/usa/;49632;Flash Gordon
language;English;/films/language/english/;49632;Flash Gordon
studio;Sarlui / Diamant Production;/studio/sarlui-diamant-production/;41672;Killer Klowns from Outer Space
studio;Chiodo Bros. Productions;/studio/chiodo-bros-productions/;41672;Killer Klowns from Outer Space
country;USA;/films/country/usa/;41672;Killer Klowns from Outer Space
language;English;/films/language/english/;41672;Killer Klowns from Outer Space
studio;Shaw Brothers;/studio/shaw-brothers/;44960;The 36th Chamber of Shaolin
country;Hong Kong;/films/country/hong-kong/;44960;The 36th Chamber of Shaolin
language;Chinese;/films/language/chinese/;44960;The 36th Chamber of Shaolin
studio;Paramount Pictures;/studio/paramount-1/;45270;The Warriors
studio;Lawrence Gordon Productions;/studio/lawrence-gordon-productions/;45270;The Warriors
country;USA;/films/country/usa/;45270;The Warriors
language;English;/films/language/english/;45270;The Warriors
studio;Searchlight Pictures;/studio/searchlight-pictures/;598882;The Banshees of Inisherin
studio;Blueprint Pictures;/studio/blueprint-pictures/;598882;The Banshees of Inisherin
studio;Film4 Productions;/studio/film4-productions/;598882;The Banshees of Inisherin
studio;TSG Entertainment;/studio/tsg-entertainment/;598882;The Banshees of Inisherin
country;UK;/films/country/uk/;598882;The Banshees of Inisherin
country;USA;/films/country/usa/;598882;The Banshees of Inisherin
language;English;/films/language/english/;598882;The Banshees of Inisherin
studio;Pressman Film;/studio/pressman-film/;45104;Masters of the Universe
studio;The Cannon Group;/studio/cannon-group/;45104;Masters of the Universe
studio;Golan-Globus Productions;/studio/golan-globus-productions/;45104;Masters of the Universe
country;USA;/films/country/usa/;45104;Masters of the Universe
language;English;/films/language/english/;45104;Masters of the Universe
studio;United Artists;/studio/united-artists/;44952;Invasion of the Body Snatchers
country;USA;/films/country/usa/;44952;Invasion of the Body Snatchers
language;English;/films/language/english/;44952;Invasion of the Body Snatchers
language;English;/films/language/english/;44952;Invasion of the Body Snatchers
language;French;/films/language/french/;44952;Invasion of the Body Snatchers
studio;United Artists;/studio/united-artists/;45260;Rollerball
studio;Algonquin;/studio/algonquin/;45260;Rollerball
country;USA;/films/country/usa/;45260;Rollerball
language;English;/films/language/english/;45260;Rollerball
studio;Seasonal Film Corporation;/studio/seasonal-film-corporation/;31606;Bloodmoon
studio;Media of Medias;/studio/media-of-medias/;31606;Bloodmoon
country;USA;/films/country/usa/;31606;Bloodmoon
language;English;/films/language/english/;31606;Bloodmoon
language;English;/films/language/english/;31606;Bloodmoon
language;Portuguese;/films/language/portuguese/;31606;Bloodmoon
studio;Renaissance Pictures;/studio/renaissance-pictures/;51386;Army of Darkness
studio;Introvision International;/studio/introvision-international/;51386;Army of Darkness
studio;Dino de Laurentiis Communications;/studio/dino-de-laurentiis-communications/;51386;Army of Darkness
country;USA;/films/country/usa/;51386;Army of Darkness
language;English;/films/language/english/;51386;Army of Darkness
studio;Artisan Entertainment;/studio/artisan-entertainment/;51483;Requiem for a Dream
studio;Thousand Words;/studio/thousand-words/;51483;Requiem for a Dream
studio;Protozoa Pictures;/studio/protozoa-pictures/;51483;Requiem for a Dream
studio;Industry Entertainment Partners;/studio/industry-entertainment/;51483;Requiem for a Dream
studio;Bandeira Entertainment;/studio/bandeira-entertainment/;51483;Requiem for a Dream
country;USA;/films/country/usa/;51483;Requiem for a Dream
language;English;/films/language/english/;51483;Requiem for a Dream
studio;Apelles Entertainment;/studio/apelles-entertainment/;276291;The Meg
studio;Gravity Pictures;/studio/gravity-pictures/;276291;The Meg
studio;di Bonaventura Pictures;/studio/di-bonaventura-pictures/;276291;The Meg
studio;Flagship Entertainment Group;/studio/flagship-entertainment-group/;276291;The Meg
studio;Maeday Productions;/studio/maeday-productions/;276291;The Meg
studio;Warner Bros. Pictures;/studio/warner-bros-pictures/;276291;The Meg
country;China;/films/country/china/;276291;The Meg
country;USA;/films/country/usa/;276291;The Meg
language;English;/films/language/english/;276291;The Meg
language;Chinese;/films/language/chinese/;276291;The Meg
language;English;/films/language/english/;276291;The Meg
language;Japanese;/films/language/japanese/;276291;The Meg
language;Thai;/films/language/thai/;276291;The Meg
studio;Stanley Kramer Productions;/studio/stanley-kramer-productions/;51771;High Noon
country;USA;/films/country/usa/;51771;High Noon
language;English;/films/language/english/;51771;High Noon
language;Spanish;/films/language/spanish/;51771;High Noon
language;English;/films/language/english/;51771;High Noon
studio;Silver Sphere Corporation;/studio/silver-sphere-corporation/;46897;Bubba Ho-tep
country;USA;/films/country/usa/;46897;Bubba Ho-tep
language;English;/films/language/english/;46897;Bubba Ho-tep
studio;PolyGram Filmed Entertainment;/studio/polygram-filmed-entertainment/;51781;Fargo
studio;Working Title Films (GB);/studio/working-title-films-gb/;51781;Fargo
country;UK;/films/country/uk/;51781;Fargo
country;USA;/films/country/usa/;51781;Fargo
language;English;/films/language/english/;51781;Fargo
studio;Toho Pictures;/studio/toho-pictures/;241920;Shin Godzilla
studio;Cine Bazar;/studio/cine-bazar/;241920;Shin Godzilla
country;Japan;/films/country/japan/;241920;Shin Godzilla
language;Japanese;/films/language/japanese/;241920;Shin Godzilla
language;Italian;/films/language/italian/;241920;Shin Godzilla
language;German;/films/language/german/;241920;Shin Godzilla
language;English;/films/language/english/;241920;Shin Godzilla
language;Japanese;/films/language/japanese/;241920;Shin Godzilla
studio;Metro-Goldwyn-Mayer;/studio/metro-goldwyn-mayer-1/;43812;Gaslight
country;USA;/films/country/usa/;43812;Gaslight
language;English;/films/language/english/;43812;Gaslight
studio;Mandarin Films;/studio/mandarin-films-1/;42841;Ip Man
studio;Beijing ShengShi HuaRei Film Investment & Management Co.;/studio/beijing-shengshi-huarei-film-investment-management-co/;42841;Ip Man
studio;China Film Co-Production Corp.;/studio/china-film-co-production-corporation/;42841;Ip Man
studio;New Film Studio of Beijing Starlight International Media Co. Ltd.;/studio/new-film-studio-of-beijing-starlight-international-media-co-ltd/;42841;Ip Man
studio;Prosperity Pictures;/studio/prosperity-pictures/;42841;Ip Man
studio;Shanghai Film Group;/studio/shanghai-film-group/;42841;Ip Man
studio;Time Antaeus Media Group;/studio/time-antaeus-media-group/;42841;Ip Man
studio;Golden Harvest Productions;/studio/golden-harvest-productions/;42841;Ip Man
country;China;/films/country/china/;42841;Ip Man
country;Hong Kong;/films/country/hong-kong/;42841;Ip Man
language;Cantonese;/films/language/cantonese/;42841;Ip Man
language;Chinese;/films/language/chinese/;42841;Ip Man
language;Japanese;/films/language/japanese/;42841;Ip Man
language;Cantonese;/films/language/cantonese/;42841;Ip Man
studio;New Line Cinema;/studio/new-line-cinema/;51708;A Nightmare on Elm Street
studio;Smart Egg Pictures;/studio/smart-egg-pictures/;51708;A Nightmare on Elm Street
studio;Media Home Entertainment;/studio/media-home-entertainment/;51708;A Nightmare on Elm Street
studio;Cinema 84;/studio/cinema-84/;51708;A Nightmare on Elm Street
studio;The Elm Street Venture;/studio/the-elm-street-venture/;51708;A Nightmare on Elm Street
country;USA;/films/country/usa/;51708;A Nightmare on Elm Street
country;UK;/films/country/uk/;51708;A Nightmare on Elm Street
language;English;/films/language/english/;51708;A Nightmare on Elm Street
studio;StudioCanal;/studio/studiocanal/;92160;Paddington
studio;Anton Capital Entertainment;/studio/anton-capital-entertainment/;92160;Paddington
studio;Heyday Films;/studio/heyday-films/;92160;Paddington
studio;TF1 Films Production;/studio/tf1-films-production-1/;92160;Paddington
country;France;/films/country/france/;92160;Paddington
country;UK;/films/country/uk/;92160;Paddington
language;English;/films/language/english/;92160;Paddington
studio;StudioCanal;/studio/studiocanal/;277023;Paddington 2
studio;Heyday Films;/studio/heyday-films/;277023;Paddington 2
studio;Anton Capital Entertainment;/studio/anton-capital-entertainment/;277023;Paddington 2
country;France;/films/country/france/;277023;Paddington 2
country;UK;/films/country/uk/;277023;Paddington 2
language;English;/films/language/english/;277023;Paddington 2
studio;New Line Cinema;/studio/new-line-cinema/;45649;Hairspray
country;USA;/films/country/usa/;45649;Hairspray
language;English;/films/language/english/;45649;Hairspray
studio;DNA Films;/studio/dna-films/;51881;28 Days Later
country;UK;/films/country/uk/;51881;28 Days Later
language;English;/films/language/english/;51881;28 Days Later
language;Spanish;/films/language/spanish/;51881;28 Days Later
language;English;/films/language/english/;51881;28 Days Later
studio;AI Film;/studio/ai-film/;561763;Pig
